 # q =   1.0000E+01
 #         x         xup      error+      error-       error
  2.7609E-02  5.8124E-01  1.2746E-02  1.7124E-02  1.4348E-02
  3.2487E-02  5.8383E-01  1.3286E-02  1.7608E-02  1.4880E-02
  3.8227E-02  5.8858E-01  1.3950E-02  1.7989E-02  1.5417E-02
  4.4982E-02  5.9490E-01  1.4739E-02  1.8159E-02  1.5901E-02
  5.2930E-02  6.0275E-01  1.5667E-02  1.8150E-02  1.6362E-02
  6.2282E-02  6.1083E-01  1.6681E-02  1.7975E-02  1.6787E-02
  7.3287E-02  6.1922E-01  1.7808E-02  1.7730E-02  1.7243E-02
  8.6236E-02  6.2623E-01  1.9026E-02  1.7498E-02  1.7767E-02
  1.0147E-01  6.3102E-01  2.0409E-02  1.7303E-02  1.8397E-02
  1.1940E-01  6.3204E-01  2.1762E-02  1.7256E-02  1.9094E-02
  1.4050E-01  6.2702E-01  2.2873E-02  1.7246E-02  1.9677E-02
  1.6533E-01  6.1377E-01  2.3529E-02  1.7106E-02  1.9951E-02
  1.9454E-01  5.8948E-01  2.3473E-02  1.6670E-02  1.9700E-02
  2.2891E-01  5.5111E-01  2.2586E-02  1.5790E-02  1.8799E-02
  2.6936E-01  4.9632E-01  2.0745E-02  1.4457E-02  1.7214E-02
  3.1695E-01  4.2430E-01  1.7869E-02  1.2676E-02  1.4930E-02
  3.7296E-01  3.3748E-01  1.4201E-02  1.0425E-02  1.2041E-02
  4.3885E-01  2.4255E-01  1.0165E-02  7.8952E-03  8.8306E-03
  5.1640E-01  1.5019E-01  6.4570E-03  5.3028E-03  5.7363E-03
  6.0764E-01  7.3279E-02  3.5748E-03  2.9475E-03  3.1632E-03
  7.1501E-01  2.3051E-02  1.4885E-03  1.2816E-03  1.3360E-03
  8.4134E-01  2.5113E-03  2.6164E-04  2.6491E-04  2.5224E-04
  9.9000E-01 -1.6725E-06  4.3319E-07  3.6928E-07  3.8472E-07
