 # q =   1.0000E+01
 #         x        xbot      error+      error-       error
  2.7609E-02  3.9444E-02  8.0761E-04  1.0504E-03  8.6624E-04
  3.2487E-02  3.4397E-02  7.4049E-04  9.2797E-04  7.7633E-04
  3.8227E-02  2.9701E-02  7.0503E-04  8.4326E-04  7.2502E-04
  4.4982E-02  2.5367E-02  6.8803E-04  7.9234E-04  7.0287E-04
  5.2930E-02  2.1394E-02  6.7771E-04  7.6566E-04  6.9634E-04
  6.2282E-02  1.7794E-02  6.7136E-04  7.4609E-04  6.9092E-04
  7.3287E-02  1.4568E-02  6.5723E-04  7.2055E-04  6.7532E-04
  8.6236E-02  1.1718E-02  6.2778E-04  6.8675E-04  6.4575E-04
  1.0147E-01  9.2414E-03  5.8075E-04  6.4108E-04  6.0052E-04
  1.1940E-01  7.1291E-03  5.2115E-04  5.8255E-04  5.4246E-04
  1.4050E-01  5.3614E-03  4.5489E-04  5.1518E-04  4.7688E-04
  1.6533E-01  3.9170E-03  3.8793E-04  4.4089E-04  4.0793E-04
  1.9454E-01  2.7662E-03  3.2459E-04  3.6510E-04  3.3968E-04
  2.2891E-01  1.8746E-03  2.6554E-04  2.9324E-04  2.7476E-04
  2.6936E-01  1.2079E-03  2.0899E-04  2.2732E-04  2.1443E-04
  3.1695E-01  7.2898E-04  1.5648E-04  1.6813E-04  1.5955E-04
  3.7296E-01  4.0306E-04  1.0918E-04  1.1621E-04  1.1081E-04
  4.3885E-01  1.9700E-04  6.8833E-05  7.2256E-05  6.9402E-05
  5.1640E-01  8.0136E-05  3.7118E-05  3.7899E-05  3.6936E-05
  6.0764E-01  2.4165E-05  1.5451E-05  1.4922E-05  1.4976E-05
  7.1501E-01  4.1942E-06  3.9551E-06  3.4251E-06  3.6453E-06
  8.4134E-01  1.9736E-07  3.1131E-07  2.1294E-07  2.5922E-07
  9.9000E-01  2.1092E-07  1.8215E-08  6.4567E-09  1.0912E-08
