 # q =   1.0000E+01
 #         x         xdn      error+      error-       error
  2.7609E-02  4.9608E-01  1.6302E-02  1.3271E-02  1.4263E-02
  3.2487E-02  4.8732E-01  1.6329E-02  1.4035E-02  1.4733E-02
  3.8227E-02  4.7875E-01  1.5953E-02  1.4681E-02  1.4950E-02
  4.4982E-02  4.6959E-01  1.4961E-02  1.5053E-02  1.4720E-02
  5.2930E-02  4.5987E-01  1.3721E-02  1.5271E-02  1.4244E-02
  6.2282E-02  4.4862E-01  1.2765E-02  1.5473E-02  1.3766E-02
  7.3287E-02  4.3586E-01  1.2798E-02  1.5889E-02  1.3621E-02
  8.6236E-02  4.2083E-01  1.3501E-02  1.6674E-02  1.4168E-02
  1.0147E-01  4.0318E-01  1.4237E-02  1.9204E-02  1.5268E-02
  1.1940E-01  3.8237E-01  1.4784E-02  2.1789E-02  1.6373E-02
  1.4050E-01  3.5778E-01  1.4921E-02  2.2912E-02  1.6782E-02
  1.6533E-01  3.2892E-01  1.4586E-02  2.2034E-02  1.6169E-02
  1.9454E-01  2.9532E-01  1.3969E-02  1.9238E-02  1.4732E-02
  2.2891E-01  2.5674E-01  1.3431E-02  1.5600E-02  1.3233E-02
  2.6936E-01  2.1338E-01  1.3006E-02  1.2790E-02  1.2277E-02
  3.1695E-01  1.6626E-01  1.2152E-02  1.1319E-02  1.1448E-02
  3.7296E-01  1.1767E-01  1.0670E-02  9.5833E-03  1.0004E-02
  4.3885E-01  7.1844E-02  8.5099E-03  7.5632E-03  7.9739E-03
  5.1640E-01  3.4632E-02  6.0805E-03  5.2907E-03  5.6369E-03
  6.0764E-01  1.1211E-02  3.3082E-03  2.7372E-03  2.9907E-03
  7.1501E-01  1.7209E-03  9.4195E-04  7.0188E-04  8.1121E-04
  8.4134E-01  4.3371E-05  5.2799E-05  3.0859E-05  4.1123E-05
  9.9000E-01  3.5252E-07  6.1867E-08  3.4228E-08  4.5072E-08
