 # q =   1.0000E+01
 #         x       xubar      error+      error-       error
  2.7609E-02  2.7311E-01  1.1014E-02  1.0985E-02  1.0498E-02
  3.2487E-02  2.4949E-01  1.0538E-02  1.0606E-02  1.0095E-02
  3.8227E-02  2.2640E-01  1.0032E-02  1.0152E-02  9.6523E-03
  4.4982E-02  2.0366E-01  9.5193E-03  9.5552E-03  9.1482E-03
  5.2930E-02  1.8130E-01  8.9997E-03  8.8746E-03  8.5996E-03
  6.2282E-02  1.5943E-01  8.4456E-03  8.1986E-03  8.0212E-03
  7.3287E-02  1.3800E-01  7.8712E-03  7.6134E-03  7.4650E-03
  8.6236E-02  1.1741E-01  7.5835E-03  6.9703E-03  6.9812E-03
  1.0147E-01  9.7870E-02  7.5348E-03  6.2651E-03  6.5994E-03
  1.1940E-01  7.9839E-02  7.5410E-03  5.5070E-03  6.2589E-03
  1.4050E-01  6.3837E-02  7.2707E-03  4.7178E-03  5.8168E-03
  1.6533E-01  5.0124E-02  6.5548E-03  4.0134E-03  5.1722E-03
  1.9454E-01  3.8778E-02  5.5377E-03  3.6151E-03  4.4807E-03
  2.2891E-01  2.9461E-02  5.0136E-03  3.6327E-03  4.2012E-03
  2.6936E-01  2.1600E-02  5.2845E-03  3.8544E-03  4.4242E-03
  3.1695E-01  1.4652E-02  5.2596E-03  3.8624E-03  4.4041E-03
  3.7296E-01  8.5729E-03  4.2444E-03  3.0799E-03  3.5276E-03
  4.3885E-01  3.9219E-03  2.5258E-03  1.7551E-03  2.0590E-03
  5.1640E-01  1.2258E-03  9.4233E-04  6.4820E-04  7.6067E-04
  6.0764E-01  2.0517E-04  1.8333E-04  1.1470E-04  1.4253E-04
  7.1501E-01  1.1169E-05  1.3012E-05  7.0282E-06  9.6119E-06
  8.4134E-01 -3.1298E-07  2.7561E-07  4.9337E-07  3.3569E-07
  9.9000E-01  3.5498E-07  6.3779E-08  3.5066E-08  4.6268E-08
