 # q =   1.0000E+01
 #         x       xdbar      error+      error-       error
  2.7609E-02  2.9186E-01  1.2059E-02  1.0827E-02  1.0974E-02
  3.2487E-02  2.7124E-01  1.1612E-02  1.0426E-02  1.0577E-02
  3.8227E-02  2.5148E-01  1.1103E-02  9.9369E-03  1.0122E-02
  4.4982E-02  2.3232E-01  1.0480E-02  9.3498E-03  9.5751E-03
  5.2930E-02  2.1374E-01  9.8497E-03  8.6954E-03  8.9973E-03
  6.2282E-02  1.9521E-01  9.3230E-03  8.0068E-03  8.4482E-03
  7.3287E-02  1.7674E-01  9.0724E-03  7.3966E-03  8.0636E-03
  8.6236E-02  1.5777E-01  9.1602E-03  7.0383E-03  7.9653E-03
  1.0147E-01  1.3811E-01  9.4260E-03  7.3376E-03  8.1740E-03
  1.1940E-01  1.1746E-01  9.7745E-03  7.7739E-03  8.5007E-03
  1.4050E-01  9.5892E-02  9.8949E-03  7.8573E-03  8.5736E-03
  1.6533E-01  7.3879E-02  9.4493E-03  7.3268E-03  8.1001E-03
  1.9454E-01  5.2418E-02  8.2583E-03  6.1222E-03  6.9578E-03
  2.2891E-01  3.3080E-02  6.5185E-03  4.6684E-03  5.4272E-03
  2.6936E-01  1.7537E-02  4.9988E-03  3.5040E-03  4.1464E-03
  3.1695E-01  7.1088E-03  4.0211E-03  2.9568E-03  3.4146E-03
  3.7296E-01  1.7469E-03  2.9172E-03  2.6004E-03  2.6761E-03
  4.3885E-01  2.3623E-05  1.5947E-03  1.6846E-03  1.5806E-03
  5.1640E-01 -9.5122E-05  5.4994E-04  6.7701E-04  5.8929E-04
  6.0764E-01 -1.5698E-06  9.8884E-05  1.3168E-04  1.1043E-04
  7.1501E-01  2.9216E-06  8.2993E-06  8.5751E-06  8.0998E-06
  8.4134E-01 -3.6568E-07  3.1810E-07  3.3631E-07  3.2263E-07
  9.9000E-01  3.5496E-07  6.3875E-08  3.5037E-08  4.6285E-08
