 # x =   1.0000E-03
 #        q2       xubar      error+      error-       error
  5.1390E+07  2.3692E+00  4.4488E-02  5.2320E-02  4.6682E-02
  6.5303E+07  2.3881E+00  4.4617E-02  5.2465E-02  4.6813E-02
  8.2982E+07  2.4067E+00  4.4780E-02  5.2560E-02  4.6937E-02
  1.0545E+08  2.4252E+00  4.4917E-02  5.2677E-02  4.7060E-02
  1.3399E+08  2.4435E+00  4.5016E-02  5.2837E-02  4.7183E-02
  1.7027E+08  2.4617E+00  4.5098E-02  5.3013E-02  4.7305E-02
  2.1637E+08  2.4796E+00  4.5179E-02  5.3174E-02  4.7425E-02
  2.7494E+08  2.4974E+00  4.5251E-02  5.3335E-02  4.7543E-02
  3.4937E+08  2.5151E+00  4.5293E-02  5.3520E-02  4.7654E-02
  4.4396E+08  2.5325E+00  4.5293E-02  5.3734E-02  4.7759E-02
  5.6414E+08  2.5498E+00  4.5314E-02  5.3932E-02  4.7860E-02
  7.1687E+08  2.5670E+00  4.5386E-02  5.4075E-02  4.7962E-02
  9.1094E+08  2.5840E+00  4.5492E-02  5.4180E-02  4.8061E-02
  1.1576E+09  2.6010E+00  4.5601E-02  5.4281E-02  4.8161E-02
  1.4709E+09  2.6183E+00  4.5697E-02  5.4398E-02  4.8260E-02
  1.8692E+09  2.6357E+00  4.5793E-02  5.4514E-02  4.8360E-02
  2.3752E+09  2.6532E+00  4.5889E-02  5.4631E-02  4.8460E-02
  3.0182E+09  2.6709E+00  4.5985E-02  5.4747E-02  4.8560E-02
  3.8353E+09  2.6886E+00  4.6082E-02  5.4864E-02  4.8660E-02
  4.8736E+09  2.7065E+00  4.6178E-02  5.4980E-02  4.8759E-02
  6.1930E+09  2.7244E+00  4.6276E-02  5.5097E-02  4.8859E-02
  7.8695E+09  2.7426E+00  4.6373E-02  5.5213E-02  4.8958E-02
  1.0000E+10  2.7608E+00  4.6471E-02  5.5330E-02  4.9058E-02
