 # x =   1.0000E-03
 #        q2       xdbar      error+      error-       error
  5.1390E+07  2.3723E+00  4.4480E-02  5.2195E-02  4.6629E-02
  6.5303E+07  2.3912E+00  4.4579E-02  5.2395E-02  4.6774E-02
  8.2982E+07  2.4098E+00  4.4713E-02  5.2558E-02  4.6917E-02
  1.0545E+08  2.4284E+00  4.4813E-02  5.2734E-02  4.7048E-02
  1.3399E+08  2.4467E+00  4.4839E-02  5.2956E-02  4.7165E-02
  1.7027E+08  2.4649E+00  4.4879E-02  5.3152E-02  4.7277E-02
  2.1637E+08  2.4829E+00  4.5041E-02  5.3228E-02  4.7392E-02
  2.7494E+08  2.5006E+00  4.5269E-02  5.3244E-02  4.7507E-02
  3.4937E+08  2.5183E+00  4.5395E-02  5.3360E-02  4.7624E-02
  4.4396E+08  2.5358E+00  4.5394E-02  5.3600E-02  4.7744E-02
  5.6414E+08  2.5531E+00  4.5393E-02  5.3829E-02  4.7858E-02
  7.1687E+08  2.5703E+00  4.5448E-02  5.3987E-02  4.7960E-02
  9.1094E+08  2.5873E+00  4.5528E-02  5.4106E-02  4.8053E-02
  1.1576E+09  2.6044E+00  4.5610E-02  5.4221E-02  4.8144E-02
  1.4709E+09  2.6217E+00  4.5682E-02  5.4353E-02  4.8239E-02
  1.8692E+09  2.6391E+00  4.5753E-02  5.4484E-02  4.8334E-02
  2.3752E+09  2.6567E+00  4.5824E-02  5.4616E-02  4.8428E-02
  3.0182E+09  2.6743E+00  4.5894E-02  5.4747E-02  4.8521E-02
  3.8353E+09  2.6921E+00  4.5964E-02  5.4878E-02  4.8614E-02
  4.8736E+09  2.7100E+00  4.6034E-02  5.5010E-02  4.8707E-02
  6.1930E+09  2.7280E+00  4.6104E-02  5.5142E-02  4.8799E-02
  7.8695E+09  2.7462E+00  4.6173E-02  5.5273E-02  4.8891E-02
  1.0000E+10  2.7644E+00  4.6242E-02  5.5405E-02  4.8983E-02
