 # q =   1.0000E+01
 #         x        xchm      error+      error-       error
  5.8422E-06  1.7694E+00  1.1368E+00  1.1035E+00  1.0015E+00
  6.8744E-06  1.7503E+00  1.0221E+00  9.7264E-01  8.8929E-01
  8.0891E-06  1.7284E+00  9.1535E-01  8.5244E-01  7.8567E-01
  9.5184E-06  1.7040E+00  8.1618E-01  7.4256E-01  6.9042E-01
  1.1200E-05  1.6760E+00  7.2641E-01  6.4576E-01  6.0567E-01
  1.3179E-05  1.6440E+00  6.4677E-01  5.6304E-01  5.3221E-01
  1.5508E-05  1.6090E+00  5.7552E-01  4.9144E-01  4.6781E-01
  1.8248E-05  1.5721E+00  5.1071E-01  4.2802E-01  4.1019E-01
  2.1472E-05  1.5342E+00  4.5089E-01  3.7058E-01  3.5762E-01
  2.5266E-05  1.4943E+00  3.9753E-01  3.2132E-01  3.1184E-01
  2.9731E-05  1.4528E+00  3.5024E-01  2.7942E-01  2.7232E-01
  3.4984E-05  1.4101E+00  3.0812E-01  2.4330E-01  2.3783E-01
  4.1165E-05  1.3668E+00  2.7028E-01  2.1155E-01  2.0730E-01
  4.8439E-05  1.3227E+00  2.3722E-01  1.8483E-01  1.8127E-01
  5.6998E-05  1.2780E+00  2.0818E-01  1.6216E-01  1.5892E-01
  6.7069E-05  1.2335E+00  1.8190E-01  1.4182E-01  1.3894E-01
  7.8919E-05  1.1890E+00  1.5877E-01  1.2426E-01  1.2170E-01
  9.2864E-05  1.1443E+00  1.3905E-01  1.0978E-01  1.0742E-01
  1.0927E-04  1.0999E+00  1.2175E-01  9.7228E-02  9.5095E-02
  1.2858E-04  1.0559E+00  1.0669E-01  8.6352E-02  8.4496E-02
  1.5130E-04  1.0125E+00  9.3644E-02  7.6959E-02  7.5409E-02
  1.7803E-04  9.6969E-01  8.2315E-02  6.8783E-02  6.7570E-02
  2.0949E-04  9.2773E-01  7.2714E-02  6.1606E-02  6.0774E-02
  2.4650E-04  8.8643E-01  6.4933E-02  5.5469E-02  5.5003E-02
  2.9006E-04  8.4583E-01  5.8219E-02  5.0201E-02  5.0048E-02
  3.4131E-04  8.0608E-01  5.2753E-02  4.5613E-02  4.5694E-02
  4.0162E-04  7.6734E-01  4.8063E-02  4.1829E-02  4.1814E-02
  4.7258E-04  7.2959E-01  4.3719E-02  3.8440E-02  3.8345E-02
  5.5608E-04  6.9281E-01  3.9706E-02  3.5418E-02  3.5199E-02
  6.5434E-04  6.5710E-01  3.6036E-02  3.2755E-02  3.2329E-02
  7.6995E-04  6.2244E-01  3.2669E-02  3.0390E-02  2.9687E-02
  9.0600E-04  5.8889E-01  2.9577E-02  2.8249E-02  2.7245E-02
  1.0661E-03  5.5643E-01  2.6731E-02  2.6287E-02  2.4984E-02
  1.2544E-03  5.2508E-01  2.4094E-02  2.4462E-02  2.2889E-02
  1.4761E-03  4.9483E-01  2.1661E-02  2.2738E-02  2.0942E-02
  1.7369E-03  4.6565E-01  1.9432E-02  2.1108E-02  1.9140E-02
  2.0438E-03  4.3752E-01  1.7418E-02  1.9583E-02  1.7488E-02
  2.4049E-03  4.1049E-01  1.5618E-02  1.8130E-02  1.5972E-02
  2.8299E-03  3.8453E-01  1.4022E-02  1.6717E-02  1.4574E-02
  3.3299E-03  3.5959E-01  1.2626E-02  1.5358E-02  1.3293E-02
  3.9183E-03  3.3563E-01  1.1416E-02  1.4091E-02  1.2128E-02
  4.6106E-03  3.1262E-01  1.0386E-02  1.2921E-02  1.1073E-02
  5.4253E-03  2.9060E-01  9.4736E-03  1.1815E-02  1.0110E-02
  6.3839E-03  2.6945E-01  8.6371E-03  1.0800E-02  9.2236E-03
  7.5118E-03  2.4918E-01  7.8680E-03  9.8625E-03  8.4013E-03
  8.8391E-03  2.2974E-01  7.1401E-03  9.0053E-03  7.6355E-03
  1.0401E-02  2.1111E-01  6.4421E-03  8.2048E-03  6.9106E-03
  1.2239E-02  1.9325E-01  5.7625E-03  7.4344E-03  6.2099E-03
  1.4401E-02  1.7613E-01  5.1073E-03  6.6797E-03  5.5328E-03
  1.6946E-02  1.5973E-01  4.5013E-03  5.9218E-03  4.8732E-03
  1.9940E-02  1.4403E-01  3.9249E-03  5.1815E-03  4.2463E-03
  2.3463E-02  1.2903E-01  3.3898E-03  4.4788E-03  3.6659E-03
  2.7609E-02  1.1473E-01  2.9192E-03  3.8230E-03  3.1535E-03
  3.2487E-02  1.0115E-01  2.5559E-03  3.3341E-03  2.7454E-03
  3.8227E-02  8.8302E-02  2.3375E-03  2.9619E-03  2.4606E-03
  4.4982E-02  7.6252E-02  2.2342E-03  2.7056E-03  2.3079E-03
  5.2930E-02  6.5001E-02  2.1925E-03  2.5633E-03  2.2577E-03
  6.2282E-02  5.4655E-02  2.1785E-03  2.4932E-03  2.2533E-03
  7.3287E-02  4.5216E-02  2.1702E-03  2.4314E-03  2.2424E-03
  8.6236E-02  3.6756E-02  2.1256E-03  2.3505E-03  2.1926E-03
  1.0147E-01  2.9292E-02  2.0202E-03  2.2307E-03  2.0866E-03
  1.1940E-01  2.2842E-02  1.8531E-03  2.0689E-03  1.9264E-03
  1.4050E-01  1.7380E-02  1.6480E-03  1.8676E-03  1.7272E-03
  1.6533E-01  1.2867E-02  1.4226E-03  1.6352E-03  1.5041E-03
  1.9454E-01  9.2299E-03  1.2031E-03  1.3807E-03  1.2742E-03
  2.2891E-01  6.3779E-03  1.0031E-03  1.1287E-03  1.0492E-03
  2.6936E-01  4.2129E-03  8.0782E-04  8.9185E-04  8.3572E-04
  3.1695E-01  2.6259E-03  6.2127E-04  6.7564E-04  6.3761E-04
  3.7296E-01  1.5146E-03  4.4825E-04  4.8189E-04  4.5735E-04
  4.3885E-01  7.8272E-04  2.9495E-04  3.1280E-04  2.9893E-04
  5.1640E-01  3.4301E-04  1.6843E-04  1.7416E-04  1.6865E-04
  6.0764E-01  1.1481E-04  7.6120E-05  7.4843E-05  7.4415E-05
  7.1501E-01  2.3411E-05  2.2285E-05  1.9803E-05  2.0783E-05
  8.4134E-01  1.4947E-06  2.3295E-06  1.6625E-06  1.9739E-06
  9.9000E-01  3.4602E-07  6.6348E-08  3.3604E-08  4.6816E-08
