 # x =   1.0000E-03
 #        q2        xglu      error+      error-       error
  5.1390E+07  4.4568E+01  7.0334E-01  8.6013E-01  7.4936E-01
  6.5303E+07  4.4860E+01  7.0129E-01  8.5822E-01  7.4731E-01
  8.2982E+07  4.5147E+01  7.0048E-01  8.5517E-01  7.4534E-01
  1.0545E+08  4.5430E+01  6.9896E-01  8.5282E-01  7.4333E-01
  1.3399E+08  4.5708E+01  6.9610E-01  8.5180E-01  7.4124E-01
  1.7027E+08  4.5982E+01  6.9306E-01  8.5087E-01  7.3910E-01
  2.1637E+08  4.6251E+01  6.9084E-01  8.4890E-01  7.3689E-01
  2.7494E+08  4.6516E+01  6.8898E-01  8.4641E-01  7.3461E-01
  3.4937E+08  4.6777E+01  6.8653E-01  8.4453E-01  7.3230E-01
  4.4396E+08  4.7033E+01  6.8329E-01  8.4349E-01  7.2996E-01
  5.6414E+08  4.7286E+01  6.8030E-01  8.4212E-01  7.2764E-01
  7.1687E+08  4.7534E+01  6.7804E-01  8.3989E-01  7.2537E-01
  9.1094E+08  4.7778E+01  6.7625E-01  8.3708E-01  7.2313E-01
  1.1576E+09  4.8023E+01  6.7447E-01  8.3420E-01  7.2088E-01
  1.4709E+09  4.8271E+01  6.7249E-01  8.3152E-01  7.1858E-01
  1.8692E+09  4.8521E+01  6.7050E-01  8.2882E-01  7.1627E-01
  2.3752E+09  4.8772E+01  6.6849E-01  8.2610E-01  7.1394E-01
  3.0182E+09  4.9024E+01  6.6647E-01  8.2335E-01  7.1159E-01
  3.8353E+09  4.9278E+01  6.6443E-01  8.2059E-01  7.0923E-01
  4.8736E+09  4.9533E+01  6.6239E-01  8.1780E-01  7.0685E-01
  6.1930E+09  4.9789E+01  6.6033E-01  8.1500E-01  7.0446E-01
  7.8695E+09  5.0047E+01  6.5826E-01  8.1218E-01  7.0205E-01
  1.0000E+10  5.0305E+01  6.5618E-01  8.0934E-01  6.9963E-01
