 # q =   1.0000E+01
 #         x       xcbar      error+      error-       error
  2.7609E-02  1.1529E-01  2.9119E-03  3.8166E-03  3.1468E-03
  3.2487E-02  1.0171E-01  2.5456E-03  3.3250E-03  2.7360E-03
  3.8227E-02  8.8845E-02  2.3249E-03  2.9510E-03  2.4490E-03
  4.4982E-02  7.6771E-02  2.2209E-03  2.6930E-03  2.2950E-03
  5.2930E-02  6.5489E-02  2.1793E-03  2.5502E-03  2.2445E-03
  6.2282E-02  5.5105E-02  2.1663E-03  2.4804E-03  2.2409E-03
  7.3287E-02  4.5622E-02  2.1596E-03  2.4195E-03  2.2313E-03
  8.6236E-02  3.7113E-02  2.1168E-03  2.3397E-03  2.1828E-03
  1.0147E-01  2.9598E-02  2.0130E-03  2.2213E-03  2.0782E-03
  1.1940E-01  2.3097E-02  1.8473E-03  2.0609E-03  1.9195E-03
  1.4050E-01  1.7585E-02  1.6434E-03  1.8611E-03  1.7216E-03
  1.6533E-01  1.3024E-02  1.4190E-03  1.6303E-03  1.4999E-03
  1.9454E-01  9.3455E-03  1.2006E-03  1.3771E-03  1.2711E-03
  2.2891E-01  6.4579E-03  1.0014E-03  1.1262E-03  1.0472E-03
  2.6936E-01  4.2644E-03  8.0683E-04  8.9034E-04  8.3446E-04
  3.1695E-01  2.6561E-03  6.2075E-04  6.7481E-04  6.3693E-04
  3.7296E-01  1.5303E-03  4.4802E-04  4.8150E-04  4.5704E-04
  4.3885E-01  7.8971E-04  2.9487E-04  3.1265E-04  2.9881E-04
  5.1640E-01  3.4548E-04  1.6841E-04  1.7412E-04  1.6862E-04
  6.0764E-01  1.1542E-04  7.6118E-05  7.4836E-05  7.4410E-05
  7.1501E-01  2.3490E-05  2.2285E-05  1.9802E-05  2.0783E-05
  8.4134E-01  1.4969E-06  2.3295E-06  1.6625E-06  1.9739E-06
  9.9000E-01  3.4602E-07  6.6348E-08  3.3604E-08  4.6816E-08
