 # q =   1.0000E+01
 #         x        xglu      error+      error-       error
  2.7609E-02  3.7026E+00  8.2941E-02  1.0847E-01  8.8323E-02
  3.2487E-02  3.3153E+00  7.0008E-02  9.1849E-02  7.4541E-02
  3.8227E-02  2.9466E+00  5.8552E-02  7.6586E-02  6.2548E-02
  4.4982E-02  2.5965E+00  5.0317E-02  6.6852E-02  5.3599E-02
  5.2930E-02  2.2651E+00  4.6573E-02  5.9514E-02  4.8472E-02
  6.2282E-02  1.9541E+00  4.5944E-02  5.5343E-02  4.7055E-02
  7.3287E-02  1.6632E+00  4.6824E-02  5.3869E-02  4.7982E-02
  8.6236E-02  1.3951E+00  4.8265E-02  5.3472E-02  4.9285E-02
  1.0147E-01  1.1504E+00  4.8786E-02  5.2840E-02  4.9635E-02
  1.1940E-01  9.3079E-01  4.7715E-02  5.1138E-02  4.8409E-02
  1.4050E-01  7.3708E-01  4.4689E-02  4.8373E-02  4.5592E-02
  1.6533E-01  5.6948E-01  4.0171E-02  4.4557E-02  4.1517E-02
  1.9454E-01  4.2758E-01  3.5023E-02  3.9773E-02  3.6700E-02
  2.2891E-01  3.1021E-01  2.9998E-02  3.4181E-02  3.1625E-02
  2.6936E-01  2.1575E-01  2.5606E-02  2.8439E-02  2.6568E-02
  3.1695E-01  1.4210E-01  2.1100E-02  2.2985E-02  2.1656E-02
  3.7296E-01  8.7013E-02  1.6551E-02  1.7824E-02  1.6890E-02
  4.3885E-01  4.8090E-02  1.2063E-02  1.2888E-02  1.2263E-02
  5.1640E-01  2.2819E-02  7.8225E-03  8.2270E-03  7.8939E-03
  6.0764E-01  8.4476E-03  4.1548E-03  4.1890E-03  4.1096E-03
  7.1501E-01  1.9681E-03  1.4951E-03  1.3686E-03  1.4134E-03
  8.4134E-01  1.4728E-04  2.0227E-04  1.4736E-04  1.7287E-04
  9.9000E-01  1.1001E-06  4.6514E-08  3.8412E-07  1.7656E-07
