 # q =   1.0000E+01
 #         x       xbbar      error+      error-       error
  2.7609E-02  3.9544E-02  8.0586E-04  1.0489E-03  8.6467E-04
  3.2487E-02  3.4494E-02  7.3832E-04  9.2609E-04  7.7432E-04
  3.8227E-02  2.9797E-02  7.0270E-04  8.4104E-04  7.2273E-04
  4.4982E-02  2.5458E-02  6.8564E-04  7.8998E-04  7.0049E-04
  5.2930E-02  2.1480E-02  6.7541E-04  7.6332E-04  6.9403E-04
  6.2282E-02  1.7873E-02  6.6930E-04  7.4386E-04  6.8878E-04
  7.3287E-02  1.4640E-02  6.5545E-04  7.1847E-04  6.7341E-04
  8.6236E-02  1.1781E-02  6.2628E-04  6.8489E-04  6.4407E-04
  1.0147E-01  9.2952E-03  5.7951E-04  6.3946E-04  5.9909E-04
  1.1940E-01  7.1738E-03  5.2014E-04  5.8119E-04  5.4127E-04
  1.4050E-01  5.3974E-03  4.5409E-04  5.1408E-04  4.7593E-04
  1.6533E-01  3.9447E-03  3.8731E-04  4.4005E-04  4.0720E-04
  1.9454E-01  2.7865E-03  3.2414E-04  3.6449E-04  3.3915E-04
  2.2891E-01  1.8886E-03  2.6526E-04  2.9282E-04  2.7441E-04
  2.6936E-01  1.2169E-03  2.0883E-04  2.2706E-04  2.1422E-04
  3.1695E-01  7.3428E-04  1.5639E-04  1.6799E-04  1.5944E-04
  3.7296E-01  4.0583E-04  1.0914E-04  1.1614E-04  1.1076E-04
  4.3885E-01  1.9823E-04  6.8819E-05  7.2231E-05  6.9382E-05
  5.1640E-01  8.0570E-05  3.7114E-05  3.7892E-05  3.6931E-05
  6.0764E-01  2.4273E-05  1.5450E-05  1.4920E-05  1.4975E-05
  7.1501E-01  4.2081E-06  3.9551E-06  3.4250E-06  3.6452E-06
  8.4134E-01  1.9774E-07  3.1131E-07  2.1294E-07  2.5922E-07
  9.9000E-01  2.1092E-07  1.8215E-08  6.4567E-09  1.0912E-08
