 # x =   1.0000E-03
 #        q2       xsbar      error+      error-       error
  5.1390E+07  2.2297E+00  5.5148E-02  5.9902E-02  5.5826E-02
  6.5303E+07  2.2488E+00  5.5227E-02  6.0041E-02  5.5928E-02
  8.2982E+07  2.2676E+00  5.5340E-02  6.0131E-02  5.6021E-02
  1.0545E+08  2.2863E+00  5.5421E-02  6.0256E-02  5.6115E-02
  1.3399E+08  2.3048E+00  5.5444E-02  6.0449E-02  5.6215E-02
  1.7027E+08  2.3231E+00  5.5460E-02  6.0645E-02  5.6313E-02
  2.1637E+08  2.3413E+00  5.5518E-02  6.0780E-02  5.6403E-02
  2.7494E+08  2.3592E+00  5.5596E-02  6.0883E-02  5.6487E-02
  3.4937E+08  2.3771E+00  5.5639E-02  6.1004E-02  5.6561E-02
  4.4396E+08  2.3947E+00  5.5633E-02  6.1153E-02  5.6619E-02
  5.6414E+08  2.4122E+00  5.5652E-02  6.1291E-02  5.6687E-02
  7.1687E+08  2.4295E+00  5.5729E-02  6.1402E-02  5.6774E-02
  9.1094E+08  2.4466E+00  5.5846E-02  6.1496E-02  5.6876E-02
  1.1576E+09  2.4638E+00  5.5965E-02  6.1587E-02  5.6978E-02
  1.4709E+09  2.4813E+00  5.6068E-02  6.1684E-02  5.7073E-02
  1.8692E+09  2.4989E+00  5.6170E-02  6.1781E-02  5.7167E-02
  2.3752E+09  2.5166E+00  5.6271E-02  6.1877E-02  5.7260E-02
  3.0182E+09  2.5345E+00  5.6372E-02  6.1972E-02  5.7353E-02
  3.8353E+09  2.5524E+00  5.6472E-02  6.2066E-02  5.7444E-02
  4.8736E+09  2.5705E+00  5.6571E-02  6.2160E-02  5.7535E-02
  6.1930E+09  2.5888E+00  5.6669E-02  6.2253E-02  5.7625E-02
  7.8695E+09  2.6071E+00  5.6767E-02  6.2345E-02  5.7714E-02
  1.0000E+10  2.6256E+00  5.6864E-02  6.2437E-02  5.7802E-02
